Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Length (product.metafields.custom.length),Thickness (product.metafields.custom.thickness),Weight (product.metafields.custom.weight),Width (product.metafields.custom.width),Wood Species (product.metafields.custom.wood_species),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
walnut-wall-art,Walnut Swell-Endgrain Wall Art,"<p><meta charset=""utf-8"">Endgrain walnut rounds—heartwood chocolate to honeyed sapwood—are composed into a gentle “swell.” Natural voids are finished with <strong data-start=""1576"" data-end=""1597"">black matte epoxy</strong> to unify the surface. The piece is then sealed in an <strong data-start=""1651"" data-end=""1700"">oil-based finish with a micro-ceramic topcoat</strong> for tactile, long-wear protection.<br><meta charset=""utf-8""></p>
<ul>
<li data-start=""2143"" data-end=""2207"">
<p data-start=""2145"" data-end=""2207"">Solid <strong data-start=""2151"" data-end=""2158"">oak</strong> / <strong data-start=""2161"" data-end=""2171"">walnut</strong> endgrain rounds, arranged by hand</p>
</li>
<li data-start=""2208"" data-end=""2266"">
<p data-start=""2210"" data-end=""2266""><strong data-start=""2210"" data-end=""2231"">Black matte epoxy</strong> fill adds contrast and stability</p>
</li>
<li data-start=""2267"" data-end=""2349"">
<p data-start=""2269"" data-end=""2349""><strong data-start=""2269"" data-end=""2305"">Oil-based finish + micro-ceramic</strong> topcoat for durable, low-sheen protection</p>
</li>
<li data-start=""2393"" data-end=""2462"">
<p data-start=""2395"" data-end=""2462""><strong data-start=""2395"" data-end=""2416"">Size to your wall</strong>: standard sizes or custom up to <strong data-start=""2449"" data-end=""2460"">48″×96″</strong></p>
</li>
<li data-start=""2463"" data-end=""2524"">
<p data-start=""2465"" data-end=""2524"">Built to order in <strong data-start=""2483"" data-end=""2492"">Texas</strong> • 1-year craftsmanship warranty</p>
</li>
</ul>",Kovara,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork","","",false,Size,"24""x24""",,,,,,,,,0.0,shopify,0,deny,manual,1150.00,,true,true,,,,,,,,,false,,,500044,,,,,,,,,,,,,,,,,,,,,lb,,,draft
walnut-wall-art,,,,,,,,,"24""x36""",,,,,,,,,0.0,shopify,0,deny,manual,1730.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
walnut-wall-art,,,,,,,,,"30""x40""",,,,,,,,,0.0,shopify,0,deny,manual,2400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
walnut-wall-art,,,,,,,,,"36""x36""",,,,,,,,,0.0,shopify,0,deny,manual,2590.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
walnut-wall-art,,,,,,,,,"36""x48""",,,,,,,,,0.0,shopify,0,deny,manual,3455.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
walnut-wall-art,,,,,,,,,"40""x60""",,,,,,,,,0.0,shopify,0,deny,manual,4800.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
walnut-wall-art,,,,,,,,,"48""x72""",,,,,,,,,0.0,shopify,0,deny,manual,6910.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
walnut-wall-art,,,,,,,,,"52""X94""",,,,,,,,,0.0,shopify,0,deny,manual,9980.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
oak-wall-art,Oak Drift - Endgrain Wall Art,"<p data-start=""446"" data-end=""783""><strong data-start=""446"" data-end=""458"">Overview</strong><br data-start=""458"" data-end=""461"">Endgrain oak rounds are arranged in a flowing “drift” pattern, revealing ray-fleck, ring geometry, and subtle color shifts. Natural checks and gaps are consolidated with a <strong data-start=""633"" data-end=""654"">black matte epoxy</strong>, then the surface is hand-finished in an <strong data-start=""696"" data-end=""752"">oil-based system sealed with a micro-ceramic coating</strong> for a durable, low-sheen feel.</p>
<p data-start=""785"" data-end=""796""><strong data-start=""785"" data-end=""794"">Specs</strong></p>
<ul data-start=""797"" data-end=""1157"">
<li data-start=""797"" data-end=""859"">
<p data-start=""799"" data-end=""859"">Material: solid <strong data-start=""815"" data-end=""822"">oak</strong> endgrain rounds on a stable backer</p>
</li>
<li data-start=""860"" data-end=""916"">
<p data-start=""862"" data-end=""916"">Fill: <strong data-start=""868"" data-end=""889"">black matte epoxy</strong> (structural + aesthetic)</p>
</li>
<li data-start=""917"" data-end=""994"">
<p data-start=""919"" data-end=""994"">Finish: <strong data-start=""927"" data-end=""940"">oil-based</strong> with <strong data-start=""946"" data-end=""971"">micro-ceramic topcoat</strong> (durable, low sheen)</p>
</li>
<li data-start=""995"" data-end=""1054"">
<p data-start=""997"" data-end=""1054"">Profile: approx. <strong data-start=""1014"" data-end=""1027"">1.25–1.5""</strong> deep, gallery-clean edge<br></p>
</li>
<li data-start=""1108"" data-end=""1157"">
<p data-start=""1110"" data-end=""1157"">Built to order in Texas; ships in <strong data-start=""1144"" data-end=""1157"">2–3 weeks</strong></p>
</li>
</ul>",Kovara,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Visual Artwork","","",false,Size,"24""x24""",,,,,,,,,0.0,shopify,0,deny,manual,1150.00,,true,true,,,,,"",,,,false,,,500044,,,,,,,,,,,,,,,,,,,,,lb,,,draft
oak-wall-art,,,,,,,,,"24""x36""",,,,,,,,,0.0,shopify,0,deny,manual,1730.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
